dsc_cidade,nota,data_ref
"Ilicínea","10","2011-12-31"
"Indianópolis","10","2011-12-31"
"Inhaúma","9.93846267058352","2011-12-31"
"Ipaba","7.64068192412428","2011-12-31"
"São João da Urtiga","10","2011-12-31"
"Tabapuã","6.89039585703892","2011-12-31"
"Santa Rosa de Viterbo","7.35517365622602","2011-12-31"
"Santa Cruz da Conceição","8.67869180883722","2011-12-31"
"Mogi Guaçu","10","2011-12-31"
"Areia Branca","9.37155335307846","2011-12-31"
"Magé","7.79461152229374","2011-12-31"
"Araguapaz","5.54393353544716","2011-12-31"
"Ipanema","10","2011-12-31"
"Analândia","10","2011-12-31"
"Itabirinha","3.85048479669822","2011-12-31"
"Licínio de Almeida","4.32217113389732","2011-12-31"
"Itacarambi","10","2011-12-31"
"Itaipé","6.62360863605551","2011-12-31"
"Pinheiro Machado","7.27302375822456","2011-12-31"
"Itamarandiba","5.93299882428917","2011-12-31"
"Severiano Melo","3.8261579097552","2011-12-31"
"Itambacuri","6.52721894800151","2011-12-31"
"Itambé do Mato Dentro","7.07861806247524","2011-12-31"
"Itanhomi","8.24275054464729","2011-12-31"
"Itaverava","6.86534733510162","2011-12-31"
"Itinga","9.22313597767259","2011-12-31"
"Itueta","7.61609918653001","2011-12-31"
"São Manuel","9.7097974241368","2011-12-31"
"Ituiutaba","10","2011-12-31"
"Jaboticatubas","7.40294393134445","2011-12-31"
"Jaíba","8.72899037813743","2011-12-31"
"Januária","8.72827236596989","2011-12-31"
"Jaguaribe","9.16427225834728","2011-12-31"
"Japonvar","10","2011-12-31"
"Abaiara","6.25830079534792","2011-12-31"
"Jequitibá","10","2011-12-31"
"Jequitinhonha","8.63582686445125","2011-12-31"
"Joaíma","10","2011-12-31"
"Moita Bonita","9.43543435559273","2011-12-31"
"Itumirim","7.87375973735349","2011-12-31"
"Dom Feliciano","10","2011-12-31"
"Planalto","10","2011-12-31"
"João Pinheiro","9.44967309209409","2011-12-31"
"Joaquim Felício","4.43038694710208","2011-12-31"
"Jordânia","4.96292904975677","2011-12-31"
"José Gonçalves de Minas","4.53834723274549","2011-12-31"
"Rubinéia","10","2011-12-31"
"Nova União","10","2011-12-31"
"Castanhal","8.43033407473578","2011-12-31"
"Juramento","9.20868680900435","2011-12-31"
"Juvenília","4.83217443281366","2011-12-31"
"Lagoa da Prata","10","2011-12-31"
"Lagoa dos Patos","9.26977709338502","2011-12-31"
"Lagoa Dourada","8.19102949441167","2011-12-31"
"Lagoa Santa","9.55338373055235","2011-12-31"
"Borebi","8.62835872318761","2011-12-31"
"Oliveira dos Brejinhos","7.13191426891192","2011-12-31"
"Lajinha","7.69640896706072","2011-12-31"
"Campos Lindos","10","2011-12-31"
"Cana Verde","7.35127138488268","2011-12-31"
"Laranjal","5.33911703544594","2011-12-31"
"Limeira do Oeste","6.08964903056041","2011-12-31"
"Bocaina","4.85176400832206","2011-12-31"
"Cabo de Santo Agostinho","10","2011-12-31"
"Baraúna","6.34003331302144","2011-12-31"
"Novo Jardim","6.73210934769166","2011-12-31"
"Porto Rico do Maranhão","8.82504372160139","2011-12-31"
"Crateús","10","2011-12-31"
"Periquito","9.80198537451997","2011-12-31"
"Janduís","6.21749577752034","2011-12-31"
"Onça de Pitangui","9.58007111788418","2011-12-31"
"Jaguaruana","8.19832725758742","2011-12-31"
"Indiara","6.81489182535555","2011-12-31"
"Carnaubais","5.58838624484339","2011-12-31"
"Terra Roxa","4.74925653101719","2011-12-31"
"Iporã","10","2011-12-31"
"Jeceaba","6.08147515670505","2011-12-31"
"São Mateus do Maranhão","7.41110676781912","2011-12-31"
"Araci","5.91125656191405","2011-12-31"
"Riachuelo","7.6432157845803","2011-12-31"
"Araçuaí","7.18150771753672","2011-12-31"
"Frederico Westphalen","6.84866889699652","2011-12-31"
"Liberdade","4.77125852948617","2011-12-31"
"Santópolis do Aguapeí","10","2011-12-31"
"Tamboril do Piauí","6.69404654436439","2011-12-31"
"Maria Helena","8.82625537940349","2011-12-31"
"Frutal","7.88148291953218","2011-12-31"
"Caiçara","5.73289554877214","2011-12-31"
"Fortaleza dos Valos","10","2011-12-31"
"Garanhuns","10","2011-12-31"
"Cacimba de Dentro","8.19200396671774","2011-12-31"
"Vertente do Lério","10","2011-12-31"
"Tuiuti","10","2011-12-31"
"Reginópolis","9.87198312836621","2011-12-31"
"Antônio Carlos","10","2011-12-31"
"Flor do Sertão","10","2011-12-31"
"Goianá","9.51218022962659","2011-12-31"
"Nanuque","8.56634033122205","2011-12-31"
"Amajari","10","2011-12-31"
"Solânea","5.71157588377962","2011-12-31"
"Breves","9.25729330273092","2011-12-31"
"Cafezal do Sul","8.36849705851413","2011-12-31"
"Capistrano","10","2011-12-31"
"Queiroz","8.57760139912441","2011-12-31"
"Santo Augusto","10","2011-12-31"
"Salvador","10","2011-12-31"
"Pombos","8.14267249765433","2011-12-31"
"Porteirinha","6.53601395712453","2011-12-31"
"Arame","4.06381534313391","2011-12-31"
"Macarani","4.37675789596593","2011-12-31"
"Coelho Neto","4.76044652457189","2011-12-31"
"Luiziânia","10","2011-12-31"
"Eugenópolis","5.18360685102343","2011-12-31"
"Valente","5.10624629135301","2011-12-31"
"Diorama","9.89625077501284","2011-12-31"
"São João do Itaperiú","10","2011-12-31"
"Morro Agudo de Goiás","10","2011-12-31"
"Diamante do Norte","6.72295230987927","2011-12-31"
"Leopoldina","8.14024451508252","2011-12-31"
"Capivari do Sul","8.54504337575151","2011-12-31"
"Nossa Senhora de Lourdes","10","2011-12-31"
"Rondinha","9.73072735554502","2011-12-31"
"Marcelino Vieira","5.59620147359103","2011-12-31"
"Fortuna","6.30902528178944","2011-12-31"
"Itaúna do Sul","7.30317250617454","2011-12-31"
"Anajás","6.93949198806515","2011-12-31"
"São Jorge","9.32619433363552","2011-12-31"
"Estância","8.56449141063298","2011-12-31"
"Ajuricaba","6.79504913756599","2011-12-31"
"Cuparaque","7.1929801352852","2011-12-31"
"Amargosa","8.44701552591385","2011-12-31"
"Porteirão","9.03045923893861","2011-12-31"
"Descoberto","5.94065497196706","2011-12-31"
"Vicentina","8.47149640590491","2011-12-31"
"Lago do Junco","6.15361065786873","2011-12-31"
"Jussiape","5.66754571489384","2011-12-31"
"Porto Murtinho","9.60439705546737","2011-12-31"
"Sussuapara","4.72285832356124","2011-12-31"
"Acrelândia","9.86640623752591","2011-12-31"
"São José do Brejo do Cruz","5.46411245334973","2011-12-31"
"Amambai","8.55732012357354","2011-12-31"
"Maripá","7.48114610864157","2011-12-31"
"Centro do Guilherme","10","2011-12-31"
"Paudalho","7.79168063967701","2011-12-31"
"Itapuí","6.58929220401196","2011-12-31"
"Carmo do Cajuru","10","2011-12-31"
"Navegantes","10","2011-12-31"
"Nazaré","6.96858567268622","2011-12-31"
"Esperantinópolis","4.67513066806716","2011-12-31"
"Brasnorte","9.25642083866788","2011-12-31"
"Ferreiros","9.40553019388729","2011-12-31"
"Capitão Gervásio Oliveira","7.28143009899375","2011-12-31"
"Chorrochó","8.67370527007139","2011-12-31"
"Angra dos Reis","10","2011-12-31"
"Getúlio Vargas","9.75348487254136","2011-12-31"
"Esperança","6.04137803061102","2011-12-31"
"Pedro II","8.19076163000456","2011-12-31"
"São José das Missões","8.70159165247059","2011-12-31"
"Panamá","10","2011-12-31"
"Cornélio Procópio","7.39642078459317","2011-12-31"
"Coração de Maria","6.10065298841909","2011-12-31"
"Monte Azul Paulista","6.08332056686987","2011-12-31"
"Afuá","6.37954379201239","2011-12-31"
"Nossa Senhora do Socorro","10","2011-12-31"
"Passa-Vinte","10","2011-12-31"
"Moiporá","8.56580661259906","2011-12-31"
"Timóteo","10","2011-12-31"
"Barreiros","6.36097966191531","2011-12-31"
"Ingá","5.11990425252586","2011-12-31"
"Vale Real","8.60342593321316","2011-12-31"
"Jacarezinho","10","2011-12-31"
"Ji-Paraná","10","2011-12-31"
"Alto Alegre do Maranhão","8.45546352749771","2011-12-31"
"Silvianópolis","8.87656164167223","2011-12-31"
"Moeda","8.83971989897305","2011-12-31"
"Sucupira do Riachão","6.96401776947138","2011-12-31"
"São Vicente","10","2011-12-31"
"Brás Pires","7.37770935532878","2011-12-31"
"Formiga","9.00178925318227","2011-12-31"
"Ewbank da Câmara","8.1526573717795","2011-12-31"
"São Domingos","5.40995113317313","2011-12-31"
"Jardim Olinda","8.09038653461945","2011-12-31"
"Monte Alegre de Minas","10","2011-12-31"
"Paratinga","4.50044470342627","2011-12-31"
"São José do Bonfim","9.4812943875852","2011-12-31"
"Nilópolis","9.03418564463682","2011-12-31"
"Paineiras","10","2011-12-31"
"Mulungu do Morro","6.02685634728354","2011-12-31"
"Arraial","7.33287532551858","2011-12-31"
"Poção","7.53412851971373","2011-12-31"
"Ibitiúra de Minas","10","2011-12-31"
"Nova Aurora","8.10763533425393","2011-12-31"
"Santa Cruz do Xingu","8.12603094035622","2011-12-31"
"Presidente Dutra","6.13026560180661","2011-12-31"
"Santo Amaro das Brotas","10","2011-12-31"
"Santa Filomena do Maranhão","5.248049834489","2011-12-31"
"Taiaçu","10","2011-12-31"
"Bom Jardim de Minas","7.80859216978823","2011-12-31"
"Serra Nova Dourada","7.53680108119708","2011-12-31"
"Itagi","7.26225417013248","2011-12-31"
"Jandaia do Sul","9.08670633853115","2011-12-31"
"Trindade","6.27448577469737","2011-12-31"
"Planaltina do Paraná","10","2011-12-31"
"Ibituruna","6.97088529156744","2011-12-31"
"Areia de Baraúnas","9.26931934333734","2011-12-31"
"Planaltina","10","2011-12-31"
"Palmeira do Piauí","6.08783082006338","2011-12-31"
"Marilândia do Sul","10","2011-12-31"
"São Francisco","10","2011-12-31"
"Santa Rita do Sapucaí","10","2011-12-31"
"Assaí","8.98070867775022","2011-12-31"
"Itaporanga","7.01622575840726","2011-12-31"
"São João de Iracema","10","2011-12-31"
"Dores de Campos","8.93910071551857","2011-12-31"
"Cabo Frio","10","2011-12-31"
"Naviraí","10","2011-12-31"
"Torre de Pedra","9.81473112876691","2011-12-31"
"Cachoeira Dourada","9.53289058937992","2011-12-31"
"Cravolândia","5.83600605909529","2011-12-31"
"São João do Ivaí","4.56334944257332","2011-12-31"
"Guaraçaí","8.97888030104941","2011-12-31"
"Pirassununga","10","2011-12-31"
"Santa Tereza","10","2011-12-31"
"Guairaçá","5.75728651386589","2011-12-31"
"Sagres","7.41803703516838","2011-12-31"
"Itaubal","10","2011-12-31"
"Campinápolis","6.74208381304964","2011-12-31"
"Senador Salgado Filho","7.78740037720622","2011-12-31"
"Canapi","8.7134695018303","2011-12-31"
"Morrinhos","10","2011-12-31"
"Itanhandu","9.6296879788405","2011-12-31"
