"dsc_cidade","populacao"
"Água Branca (AL)","20230"
"Anadia (AL)","17526"
"Arapiraca (AL)","233047"
"Atalaia (AL)","47365"
"Barra de Santo Antônio (AL)","16068"
"Barra de São Miguel (AL)","8378"
"Batalha (AL)","18338"
"Belém (AL)","4284"
"Belo Monte (AL)","6710"
"Boca da Mata (AL)","27356"
"Branquinha (AL)","10460"
"Cacimbinhas (AL)","10889"
"Cajueiro (AL)","21331"
"Campestre (AL)","6954"
"Campo Alegre (AL)","57537"
"Campo Grande (AL)","9567"
"Canapi (AL)","17719"
"Capela (AL)","16979"
"Carneiros (AL)","9159"
"Chã Preta (AL)","7311"
"Coité do Nóia (AL)","10643"
"Colônia Leopoldina (AL)","21818"
"Coqueiro Seco (AL)","5864"
"Coruripe (AL)","57294"
"Craíbas (AL)","24309"
"Delmiro Gouveia (AL)","52262"
"Dois Riachos (AL)","11067"
"Estrela de Alagoas (AL)","18255"
"Feira Grande (AL)","22178"
"Feliz Deserto (AL)","4779"
"Flexeiras (AL)","12807"
"Girau do Ponciano (AL)","41237"
"Ibateguara (AL)","15627"
"Igaci (AL)","25613"
"Igreja Nova (AL)","24586"
"Inhapi (AL)","18392"
"Jacaré dos Homens (AL)","5219"
"Jacuípe (AL)","7006"
"Japaratinga (AL)","8403"
"Jaramataia (AL)","5761"
"Jequiá da Praia (AL)","11536"
"Joaquim Gomes (AL)","24081"
"Jundiá (AL)","4137"
"Junqueiro (AL)","24722"
"Lagoa da Canoa (AL)","17771"
"Limoeiro de Anadia (AL)","28771"
"Maceió (AL)","1025360"
"Major Isidoro (AL)","19864"
"Maragogi (AL)","33032"
"Maravilha (AL)","9004"
"Marechal Deodoro (AL)","52380"
"Maribondo (AL)","13193"
"Mar Vermelho (AL)","3494"
"Mata Grande (AL)","25207"
"Matriz de Camaragibe (AL)","24634"
"Messias (AL)","18031"
"Minador do Negrão (AL)","5322"
"Monteirópolis (AL)","7165"
"Murici (AL)","28333"
"Novo Lino (AL)","12764"
"Olho d'Água das Flores (AL)","21738"
"Olho d'Água do Casado (AL)","9441"
"Olho d'Água Grande (AL)","5128"
"Olivença (AL)","11657"
"Ouro Branco (AL)","11535"
"Palestina (AL)","5037"
"Palmeira dos Índios (AL)","73337"
"Pão de Açúcar (AL)","24351"
"Pariconha (AL)","10539"
"Paripueira (AL)","13332"
"Passo de Camaragibe (AL)","15258"
"Paulo Jacinto (AL)","7560"
"Penedo (AL)","63846"
"Piaçabuçu (AL)","17848"
"Pilar (AL)","35212"
"Pindoba (AL)","2905"
"Piranhas (AL)","25183"
"Poço das Trincheiras (AL)","14418"
"Porto Calvo (AL)","27249"
"Porto de Pedras (AL)","7701"
"Porto Real do Colégio (AL)","20112"
"Quebrangulo (AL)","11248"
"Rio Largo (AL)","75394"
"Roteiro (AL)","6649"
"Santa Luzia do Norte (AL)","7320"
"Santana do Ipanema (AL)","47819"
"Santana do Mundaú (AL)","10687"
"São Brás (AL)","6969"
"São José da Laje (AL)","23996"
"São José da Tapera (AL)","32405"
"São Luís do Quitunde (AL)","34692"
"São Miguel dos Campos (AL)","61797"
"São Miguel dos Milagres (AL)","8013"
"São Sebastião (AL)","34290"
"Satuba (AL)","13936"
"Senador Rui Palmeira (AL)","13921"
"Tanque d'Arca (AL)","6138"
"Taquarana (AL)","20072"
"Teotônio Vilela (AL)","44372"
"Traipu (AL)","27826"
"União dos Palmares (AL)","65790"
"Viçosa (AL)","25693"
"Amparo de São Francisco (SE)","2380"
"Aquidabã (SE)","21681"
"Aracaju (SE)","664908"
"Arauá (SE)","9947"
"Areia Branca (SE)","18686"
"Barra dos Coqueiros (SE)","30930"
"Boquim (SE)","26899"
"Brejo Grande (SE)","8353"
"Campo do Brito (SE)","18218"
"Canhoba (SE)","4006"
"Canindé de São Francisco (SE)","30402"
"Capela (SE)","34514"
"Carira (SE)","22239"
"Carmópolis (SE)","16937"
"Cedro de São João (SE)","5913"
"Cristinápolis (SE)","18029"
"Cumbe (SE)","3998"
"Divina Pastora (SE)","5215"
"Estância (SE)","69556"
"Feira Nova (SE)","5601"
"Frei Paulo (SE)","15556"
"Gararu (SE)","11601"
"General Maynard (SE)","3384"
"Gracho Cardoso (SE)","5824"
"Ilha das Flores (SE)","8521"
"Indiaroba (SE)","18149"
"Itabaiana (SE)","96142"
"Itabaianinha (SE)","42166"
"Itabi (SE)","4886"
"Itaporanga d'Ajuda (SE)","34709"
"Japaratuba (SE)","18907"
"Japoatã (SE)","13429"
"Lagarto (SE)","105221"
"Laranjeiras (SE)","30080"
"Macambira (SE)","6961"
"Malhada dos Bois (SE)","3699"
"Malhador (SE)","12653"
"Maruim (SE)","17271"
"Moita Bonita (SE)","11348"
"Monte Alegre de Sergipe (SE)","15175"
"Muribeca (SE)","7639"
"Neópolis (SE)","18703"
"Nossa Senhora Aparecida (SE)","8809"
"Nossa Senhora da Glória (SE)","37324"
"Nossa Senhora das Dores (SE)","26795"
"Nossa Senhora de Lourdes (SE)","6496"
"Nossa Senhora do Socorro (SE)","185706"
"Pacatuba (SE)","14540"
"Pedra Mole (SE)","3285"
"Pedrinhas (SE)","9665"
"Pinhão (SE)","6627"
"Pirambu (SE)","9359"
"Poço Redondo (SE)","35122"
"Poço Verde (SE)","23867"
"Porto da Folha (SE)","28693"
"Propriá (SE)","29692"
"Riachão do Dantas (SE)","19809"
"Riachuelo (SE)","10284"
"Ribeirópolis (SE)","18773"
"Rosário do Catete (SE)","11008"
"Salgado (SE)","20025"
"Santa Luzia do Itanhy (SE)","14121"
"Santana do São Francisco (SE)","7844"
"Santa Rosa de Lima (SE)","3923"
"Santo Amaro das Brotas (SE)","12151"
"São Cristóvão (SE)","91093"
"São Domingos (SE)","11207"
"São Francisco (SE)","3781"
"São Miguel do Aleixo (SE)","3947"
"Simão Dias (SE)","40606"
"Siriri (SE)","8970"
"Telha (SE)","3249"
"Tobias Barreto (SE)","52530"
"Tomar do Geru (SE)","13535"
"Umbaúba (SE)","25550"
"Abaíra (BA)","8710"
"Abaré (BA)","20347"
"Acajutiba (BA)","15187"
"Adustina (BA)","17126"
"Água Fria (BA)","17033"
"Érico Cardoso (BA)","10560"
"Aiquara (BA)","4416"
"Alagoinhas (BA)","152327"
"Alcobaça (BA)","22490"
"Almadina (BA)","5366"
"Amargosa (BA)","37441"
"Amélia Rodrigues (BA)","25048"
"América Dourada (BA)","16090"
"Anagé (BA)","21607"
"Andaraí (BA)","13132"
"Andorinha (BA)","14503"
"Angical (BA)","13938"
"Anguera (BA)","11297"
"Antas (BA)","19479"
"Antônio Cardoso (BA)","11677"
"Antônio Gonçalves (BA)","11878"
"Aporá (BA)","17788"
"Apuarema (BA)","7302"
"Aracatu (BA)","13045"
"Araçás (BA)","12208"
"Araci (BA)","54648"
"Aramari (BA)","11461"
"Arataca (BA)","10961"
"Aratuípe (BA)","8837"
"Aurelino Leal (BA)","11299"
"Baianópolis (BA)","13929"
"Baixa Grande (BA)","20449"
"Banzaê (BA)","13240"
"Barra (BA)","53910"
"Barra da Estiva (BA)","20392"
"Barra do Choça (BA)","31209"
"Barra do Mendes (BA)","13833"
"Barra do Rocha (BA)","5612"
"Barreiras (BA)","156975"
"Barro Alto (BA)","15054"
"Barrocas (BA)","16105"
"Barro Preto (BA)","5448"
"Belmonte (BA)","23437"
"Belo Campo (BA)","17109"
"Biritinga (BA)","15984"
"Boa Nova (BA)","12329"
"Boa Vista do Tupim (BA)","18531"
"Bom Jesus da Lapa (BA)","69662"
"Bom Jesus da Serra (BA)","9823"
"Boninal (BA)","14446"
"Bonito (BA)","16884"
"Boquira (BA)","21497"
"Botuporã (BA)","10129"
"Brejões (BA)","14222"
"Brejolândia (BA)","10618"
"Brotas de Macaúbas (BA)","10130"
"Brumado (BA)","67335"
"Buerarema (BA)","18306"
"Buritirama (BA)","21276"
"Caatiba (BA)","6488"
"Cabaceiras do Paraguaçu (BA)","18911"
"Cachoeira (BA)","33567"
"Caculé (BA)","23291"
"Caém (BA)","9058"
"Caetanos (BA)","14608"
"Caetité (BA)","51081"
"Cafarnaum (BA)","18513"
"Cairu (BA)","18427"
"Caldeirão Grande (BA)","13391"
"Camacan (BA)","32006"
"Camaçari (BA)","304302"
"Camamu (BA)","35382"
"Campo Alegre de Lourdes (BA)","28820"
"Campo Formoso (BA)","71487"
"Canápolis (BA)","9703"
"Canarana (BA)","26325"
"Canavieiras (BA)","30906"
"Candeal (BA)","8181"
"Candeias (BA)","87458"
"Candiba (BA)","14368"
"Cândido Sales (BA)","25053"
"Cansanção (BA)","34882"
"Canudos (BA)","16753"
"Capela do Alto Alegre (BA)","11616"
"Capim Grosso (BA)","30862"
"Caraíbas (BA)","8801"
"Caravelas (BA)","22093"
"Cardeal da Silva (BA)","9346"
"Carinhanha (BA)","29070"
"Casa Nova (BA)","72545"
"Castro Alves (BA)","26318"
"Catolândia (BA)","3599"
"Catu (BA)","54970"
"Caturama (BA)","9316"
"Central (BA)","17280"
"Chorrochó (BA)","11200"
"Cícero Dantas (BA)","32576"
"Cipó (BA)","17352"
"Coaraci (BA)","16549"
"Cocos (BA)","18807"
"Conceição da Feira (BA)","22762"
"Conceição do Almeida (BA)","17165"
"Conceição do Coité (BA)","67013"
"Conceição do Jacuípe (BA)","33398"
"Conde (BA)","26035"
"Condeúba (BA)","17178"
"Contendas do Sincorá (BA)","4045"
"Coração de Maria (BA)","22495"
"Cordeiros (BA)","8642"
"Coribe (BA)","14149"
"Coronel João Sá (BA)","15717"
"Correntina (BA)","32191"
"Cotegipe (BA)","13769"
"Cravolândia (BA)","5351"
"Crisópolis (BA)","21163"
"Cristópolis (BA)","13947"
"Cruz das Almas (BA)","63591"
"Curaçá (BA)","34886"
"Dário Meira (BA)","10525"
"Dias d'Ávila (BA)","82432"
"Dom Basílio (BA)","12240"
"Dom Macedo Costa (BA)","4065"
"Elísio Medrado (BA)","8126"
"Encruzilhada (BA)","16446"
"Entre Rios (BA)","41901"
"Esplanada (BA)","37578"
"Euclides da Cunha (BA)","60858"
"Eunápolis (BA)","114396"
"Fátima (BA)","17845"
"Feira da Mata (BA)","5661"
"Feira de Santana (BA)","619609"
"Filadélfia (BA)","16345"
"Firmino Alves (BA)","5629"
"Floresta Azul (BA)","10575"
"Formosa do Rio Preto (BA)","25857"
"Gandu (BA)","32596"
"Gavião (BA)","4440"
"Gentio do Ouro (BA)","11259"
"Glória (BA)","15234"
"Gongogi (BA)","6985"
"Governador Mangabeira (BA)","20762"
"Guajeru (BA)","6646"
"Guanambi (BA)","84928"
"Guaratinga (BA)","20700"
"Heliópolis (BA)","12987"
"Iaçu (BA)","24121"
"Ibiassucê (BA)","9031"
"Ibicaraí (BA)","21378"
"Ibicoara (BA)","19786"
"Ibicuí (BA)","16230"
"Ibipeba (BA)","18319"
"Ibipitanga (BA)","14947"
"Ibiquera (BA)","4046"
"Ibirapitanga (BA)","23404"
"Ibirapuã (BA)","8690"
"Ibirataia (BA)","14882"
"Ibitiara (BA)","16403"
"Ibititá (BA)","17080"
"Ibotirama (BA)","27003"
"Ichu (BA)","6220"
"Igaporã (BA)","15650"
"Igrapiúna (BA)","13091"
"Iguaí (BA)","26963"
"Ilhéus (BA)","159923"
"Inhambupe (BA)","40333"
"Ipecaetá (BA)","14354"
"Ipiaú (BA)","45922"
"Ipirá (BA)","59435"
"Ipupiara (BA)","9911"
"Irajuba (BA)","7279"
"Iramaia (BA)","8197"
"Iraquara (BA)","25478"
"Irará (BA)","29173"
"Irecê (BA)","73524"
"Itabela (BA)","30747"
"Itaberaba (BA)","64646"
"Itabuna (BA)","213685"
"Itacaré (BA)","28684"
"Itaeté (BA)","16110"
"Itagi (BA)","12242"
"Itagibá (BA)","14452"
"Itagimirim (BA)","6825"
"Itaguaçu da Bahia (BA)","14542"
"Itaju do Colônia (BA)","6596"
"Itajuípe (BA)","20398"
"Itamaraju (BA)","64455"
"Itamari (BA)","8003"
"Itambé (BA)","22754"
"Itanagra (BA)","6436"
"Itanhém (BA)","19316"
"Itaparica (BA)","22337"
"Itapé (BA)","8526"
"Itapebi (BA)","10215"
"Itapetinga (BA)","76795"
"Itapicuru (BA)","35883"
"Itapitanga (BA)","10298"
"Itaquara (BA)","8347"
"Itarantim (BA)","19843"
"Itatim (BA)","14539"
"Itiruçu (BA)","12528"
"Itiúba (BA)","36116"
"Itororó (BA)","20388"
"Ituaçu (BA)","19030"
"Ituberá (BA)","28740"
"Iuiu (BA)","11016"
"Jaborandi (BA)","8277"
"Jacaraci (BA)","14850"
"Jacobina (BA)","80635"
"Jaguaquara (BA)","54673"
"Jaguarari (BA)","33746"
"Jaguaripe (BA)","18981"
"Jandaíra (BA)","10726"
"Jequié (BA)","156126"
"Jeremoabo (BA)","40651"
"Jiquiriçá (BA)","14557"
"Jitaúna (BA)","10808"
"João Dourado (BA)","25402"
"Juazeiro (BA)","218162"
"Jucuruçu (BA)","8988"
"Jussara (BA)","15262"
"Jussari (BA)","5768"
"Jussiape (BA)","5976"
"Lafaiete Coutinho (BA)","3693"
"Lagoa Real (BA)","15770"
"Laje (BA)","24032"
"Lajedão (BA)","3975"
"Lajedinho (BA)","3758"
"Lajedo do Tabocal (BA)","8577"
"Lamarão (BA)","8191"
"Lapão (BA)","27274"
"Lauro de Freitas (BA)","201635"
"Lençóis (BA)","11499"
"Licínio de Almeida (BA)","12373"
"Livramento de Nossa Senhora (BA)","46062"
"Luís Eduardo Magalhães (BA)","90162"
"Macajuba (BA)","11332"
"Macarani (BA)","18909"
"Macaúbas (BA)","50161"
"Macururé (BA)","7787"
"Madre de Deus (BA)","21432"
"Maetinga (BA)","2764"
"Maiquinique (BA)","10206"
"Mairi (BA)","18602"
"Malhada (BA)","16861"
"Malhada de Pedras (BA)","8359"
"Manoel Vitorino (BA)","13087"
"Mansidão (BA)","13734"
"Maracás (BA)","20393"
"Maragogipe (BA)","44793"
"Maraú (BA)","20617"
"Marcionílio Souza (BA)","10380"
"Mascote (BA)","13717"
"Mata de São João (BA)","47126"
"Matina (BA)","12283"
"Medeiros Neto (BA)","22716"
"Miguel Calmon (BA)","25894"
"Milagres (BA)","10893"
"Mirangaba (BA)","18474"
"Mirante (BA)","8447"
"Monte Santo (BA)","49278"
"Morpará (BA)","8497"
"Morro do Chapéu (BA)","35440"
"Mortugaba (BA)","12052"
"Mucugê (BA)","8889"
"Mucuri (BA)","42251"
"Mulungu do Morro (BA)","10673"
"Mundo Novo (BA)","26970"
"Muniz Ferreira (BA)","7443"
"Muquém do São Francisco (BA)","11417"
"Muritiba (BA)","29410"
"Mutuípe (BA)","22282"
"Nazaré (BA)","28594"
"Nilo Peçanha (BA)","14079"
"Nordestina (BA)","13164"
"Nova Canaã (BA)","16472"
"Nova Fátima (BA)","7821"
"Nova Ibiá (BA)","6554"
"Nova Itarana (BA)","8279"
"Nova Redenção (BA)","9123"
"Nova Soure (BA)","26998"
"Nova Viçosa (BA)","43783"
"Novo Horizonte (BA)","12522"
"Novo Triunfo (BA)","15443"
"Olindina (BA)","28304"
"Oliveira dos Brejinhos (BA)","21810"
"Ouriçangas (BA)","8570"
"Ourolândia (BA)","17511"
"Palmas de Monte Alto (BA)","21796"
"Palmeiras (BA)","9071"
"Paramirim (BA)","21695"
"Paratinga (BA)","32141"
"Paripiranga (BA)","29058"
"Pau Brasil (BA)","9686"
"Paulo Afonso (BA)","118516"
"Pé de Serra (BA)","13556"
"Pedrão (BA)","7394"
"Pedro Alexandre (BA)","16682"
"Piatã (BA)","16984"
"Pilão Arcado (BA)","35175"
"Pindaí (BA)","16285"
"Pindobaçu (BA)","20098"
"Pintadas (BA)","10394"
"Piraí do Norte (BA)","10036"
"Piripá (BA)","10475"
"Piritiba (BA)","24964"
"Planaltino (BA)","9370"
"Planalto (BA)","26426"
"Poções (BA)","46879"
"Pojuca (BA)","39972"
"Ponto Novo (BA)","14819"
"Porto Seguro (BA)","150658"
"Potiraguá (BA)","6916"
"Prado (BA)","28194"
"Presidente Dutra (BA)","15160"
"Presidente Jânio Quadros (BA)","12179"
"Presidente Tancredo Neves (BA)","28004"
"Queimadas (BA)","25433"
"Quijingue (BA)","27626"
"Quixabeira (BA)","8956"
"Rafael Jambeiro (BA)","22633"
"Remanso (BA)","41170"
"Retirolândia (BA)","14495"
"Riachão das Neves (BA)","22334"
"Riachão do Jacuípe (BA)","33468"
"Riacho de Santana (BA)","35593"
"Ribeira do Amparo (BA)","14612"
"Ribeira do Pombal (BA)","53956"
"Ribeirão do Largo (BA)","5343"
"Rio de Contas (BA)","12932"
"Rio do Antônio (BA)","15448"
"Rio do Pires (BA)","11663"
"Rio Real (BA)","40976"
"Rodelas (BA)","9442"
"Ruy Barbosa (BA)","30857"
"Salinas da Margarida (BA)","15862"
"Salvador (BA)","2886698"
"Santa Bárbara (BA)","20883"
"Santa Brígida (BA)","14063"
"Santa Cruz Cabrália (BA)","27922"
"Santa Cruz da Vitória (BA)","6278"
"Santa Inês (BA)","10606"
"Santaluz (BA)","37531"
"Santa Luzia (BA)","12449"
"Santa Maria da Vitória (BA)","39775"
"Santana (BA)","26705"
"Santanópolis (BA)","8966"
"Santa Rita de Cássia (BA)","28481"
"Santa Terezinha (BA)","10464"
"Santo Amaro (BA)","60131"
"Santo Antônio de Jesus (BA)","102380"
"Santo Estêvão (BA)","53269"
"São Desidério (BA)","34266"
"São Domingos (BA)","9072"
"São Félix (BA)","14762"
"São Félix do Coribe (BA)","15468"
"São Felipe (BA)","21080"
"São Francisco do Conde (BA)","40245"
"São Gabriel (BA)","18789"
"São Gonçalo dos Campos (BA)","37942"
"São José da Vitória (BA)","5608"
"São José do Jacuípe (BA)","10505"
"São Miguel das Matas (BA)","11704"
"São Sebastião do Passé (BA)","44430"
"Sapeaçu (BA)","17409"
"Sátiro Dias (BA)","17302"
"Saubara (BA)","12105"
"Saúde (BA)","12943"
"Seabra (BA)","44234"
"Sebastião Laranjeiras (BA)","11512"
"Senhor do Bonfim (BA)","79424"
"Serra do Ramalho (BA)","31416"
"Sento Sé (BA)","40989"
"Serra Dourada (BA)","17321"
"Serra Preta (BA)","14699"
"Serrinha (BA)","81286"
"Serrolândia (BA)","13446"
"Simões Filho (BA)","135783"
"Sítio do Mato (BA)","13059"
"Sítio do Quinto (BA)","9701"
"Sobradinho (BA)","23233"
"Souto Soares (BA)","17050"
"Tabocas do Brejo Velho (BA)","12516"
"Tanhaçu (BA)","20393"
"Tanque Novo (BA)","17443"
"Tanquinho (BA)","7928"
"Taperoá (BA)","21253"
"Tapiramutá (BA)","16974"
"Teixeira de Freitas (BA)","162438"
"Teodoro Sampaio (BA)","7359"
"Teofilândia (BA)","22555"
"Teolândia (BA)","15022"
"Terra Nova (BA)","13025"
"Tremedal (BA)","16189"
"Tucano (BA)","50798"
"Uauá (BA)","24113"
"Ubaíra (BA)","19877"
"Ubaitaba (BA)","18847"
"Ubatã (BA)","27263"
"Uibaí (BA)","13891"
"Umburanas (BA)","19402"
"Una (BA)","18544"
"Urandi (BA)","16665"
"Uruçuca (BA)","20413"
"Utinga (BA)","19256"
"Valença (BA)","97233"
"Valente (BA)","28800"
"Várzea da Roça (BA)","14121"
"Várzea do Poço (BA)","9210"
"Várzea Nova (BA)","12625"
"Varzedo (BA)","8785"
"Vera Cruz (BA)","43716"
"Vereda (BA)","6153"
"Vitória da Conquista (BA)","341128"
"Wagner (BA)","9344"
"Wanderley (BA)","12180"
"Wenceslau Guimarães (BA)","20978"
"Xique-Xique (BA)","46523"
"Abadia dos Dourados (MG)","7006"
"Abaeté (MG)","23250"
"Abre Campo (MG)","13444"
"Acaiaca (MG)","3994"
"Açucena (MG)","9368"
"Água Boa (MG)","13523"
"Água Comprida (MG)","1992"
"Aguanil (MG)","4522"
"Águas Formosas (MG)","19247"
"Águas Vermelhas (MG)","13599"
"Aimorés (MG)","25141"
"Aiuruoca (MG)","5976"
"Alagoa (MG)","2665"
"Albertina (MG)","3011"
"Além Paraíba (MG)","35401"
"Alfenas (MG)","80494"
"Alfredo Vasconcelos (MG)","6981"
"Almenara (MG)","42143"
"Alpercata (MG)","7436"
"Alpinópolis (MG)","19958"
"Alterosa (MG)","14517"
"Alto Caparaó (MG)","5894"
"Alto Rio Doce (MG)","10859"
"Alvarenga (MG)","3844"
"Alvinópolis (MG)","15169"
"Alvorada de Minas (MG)","3605"
"Amparo do Serra (MG)","4678"
"Andradas (MG)","41396"
"Cachoeira de Pajeú (MG)","9442"
"Andrelândia (MG)","12206"
"Angelândia (MG)","8557"
"Antônio Carlos (MG)","11459"
"Antônio Dias (MG)","9275"
"Antônio Prado de Minas (MG)","1587"
"Araçaí (MG)","2354"
"Aracitaba (MG)","2059"
"Araçuaí (MG)","36712"
"Araguari (MG)","117825"
"Arantina (MG)","2787"
"Araponga (MG)","8453"
"Araporã (MG)","6931"
"Arapuá (MG)","2835"
"Araújos (MG)","9401"
"Araxá (MG)","107337"
"Arceburgo (MG)","10883"
"Arcos (MG)","40380"
"Areado (MG)","15181"
"Argirita (MG)","2704"
"Aricanduva (MG)","5269"
"Arinos (MG)","17862"
"Astolfo Dutra (MG)","14270"
"Ataléia (MG)","12678"
"Augusto de Lima (MG)","4851"
"Baependi (MG)","19199"
"Baldim (MG)","7803"
"Bambuí (MG)","23898"
"Bandeira (MG)","4766"
"Bandeira do Sul (MG)","5778"
"Barão de Cocais (MG)","32866"
"Barão de Monte Alto (MG)","5354"
"Barbacena (MG)","138204"
"Barra Longa (MG)","5015"
"Barroso (MG)","20897"
"Bela Vista de Minas (MG)","10262"
"Belmiro Braga (MG)","3425"
"Belo Horizonte (MG)","2521564"
"Belo Oriente (MG)","26994"
"Belo Vale (MG)","7719"
"Berilo (MG)","11872"
"Bertópolis (MG)","4607"
"Berizal (MG)","4764"
"Betim (MG)","444784"
"Bias Fortes (MG)","3329"
"Bicas (MG)","14554"
"Biquinhas (MG)","2498"
"Boa Esperança (MG)","40219"
"Bocaina de Minas (MG)","5089"
"Bocaiúva (MG)","50256"
"Bom Despacho (MG)","51028"
"Bom Jardim de Minas (MG)","6459"
"Bom Jesus da Penha (MG)","4244"
"Bom Jesus do Amparo (MG)","6133"
"Bom Jesus do Galho (MG)","14862"
"Bom Repouso (MG)","10537"
"Bom Sucesso (MG)","17607"
"Bonfim (MG)","6860"
"Bonfinópolis de Minas (MG)","5444"
"Bonito de Minas (MG)","11369"
"Borda da Mata (MG)","19614"
"Botelhos (MG)","14949"
"Botumirim (MG)","6288"
"Brasilândia de Minas (MG)","16748"
"Brasília de Minas (MG)","32405"
"Brás Pires (MG)","4293"
"Braúnas (MG)","4769"
"Brazópolis (MG)","14410"
"Brumadinho (MG)","40666"
"Bueno Brandão (MG)","10991"
"Buenópolis (MG)","10353"
"Bugre (MG)","3983"
"Buritis (MG)","25013"
"Buritizeiro (MG)","28121"
"Cabeceira Grande (MG)","6988"
"Cabo Verde (MG)","14075"
"Cachoeira da Prata (MG)","3591"
"Cachoeira de Minas (MG)","11579"
"Cachoeira Dourada (MG)","2706"
"Caetanópolis (MG)","11749"
"Caeté (MG)","45047"
"Caiana (MG)","5541"
"Cajuri (MG)","3974"
"Caldas (MG)","14541"
"Camacho (MG)","2869"
"Camanducaia (MG)","21801"
"Cambuí (MG)","29814"
"Cambuquira (MG)","12812"
"Campanário (MG)","3730"
"Campanha (MG)","16762"
"Campestre (MG)","21054"
"Campina Verde (MG)","19752"
"Campo Azul (MG)","3824"
"Campo Belo (MG)","54186"
"Campo do Meio (MG)","11651"
"Campo Florido (MG)","8269"
"Campos Altos (MG)","15563"
"Campos Gerais (MG)","28842"
"Canaã (MG)","4548"
"Canápolis (MG)","12201"
"Cana Verde (MG)","5594"
"Candeias (MG)","14888"
"Cantagalo (MG)","4551"
"Caparaó (MG)","5451"
"Capela Nova (MG)","4634"
"Capelinha (MG)","38057"
"Capetinga (MG)","6890"
"Capim Branco (MG)","9826"
"Capinópolis (MG)","16234"
"Capitão Andrade (MG)","5514"
"Capitão Enéas (MG)","15313"
"Capitólio (MG)","8663"
"Caputira (MG)","9308"
"Caraí (MG)","23780"
"Caranaíba (MG)","3166"
"Carandaí (MG)","25669"
"Carangola (MG)","33011"
"Caratinga (MG)","92603"
"Carbonita (MG)","9414"
"Careaçu (MG)","6792"
"Carlos Chagas (MG)","18674"
"Carmésia (MG)","2646"
"Carmo da Cachoeira (MG)","12182"
"Carmo da Mata (MG)","11511"
"Carmo de Minas (MG)","14947"
"Carmo do Cajuru (MG)","22693"
"Carmo do Paranaíba (MG)","30334"
"Carmo do Rio Claro (MG)","21268"
"Carmópolis de Minas (MG)","19559"
"Carneirinho (MG)","10066"
"Carrancas (MG)","4049"
"Carvalhópolis (MG)","3597"
"Carvalhos (MG)","4461"
"Casa Grande (MG)","2254"
"Cascalho Rico (MG)","3092"
"Cássia (MG)","17740"
"Conceição da Barra de Minas (MG)","3946"
"Cataguases (MG)","75540"
"Catas Altas (MG)","5421"
"Catas Altas da Noruega (MG)","3653"
"Catuji (MG)","6257"
"Catuti (MG)","4965"
"Caxambu (MG)","21610"
"Cedro do Abaeté (MG)","1157"
"Central de Minas (MG)","7046"
"Centralina (MG)","10346"
"Chácara (MG)","3186"
"Chalé (MG)","5699"
"Chapada do Norte (MG)","15345"
"Chapada Gaúcha (MG)","13953"
"Chiador (MG)","2671"
"Cipotânea (MG)","6799"
"Claraval (MG)","4853"
"Claro dos Poções (MG)","7514"
"Cláudio (MG)","28859"
"Coimbra (MG)","7594"
"Coluna (MG)","8841"
"Comendador Gomes (MG)","3120"
"Comercinho (MG)","6774"
"Conceição da Aparecida (MG)","10322"
"Conceição das Pedras (MG)","2813"
"Conceição das Alagoas (MG)","28346"
"Conceição de Ipanema (MG)","4578"
"Conceição do Mato Dentro (MG)","17503"
"Conceição do Pará (MG)","5533"
"Conceição do Rio Verde (MG)","13684"
"Conceição dos Ouros (MG)","11748"
"Cônego Marinho (MG)","7686"
"Confins (MG)","6800"
"Congonhal (MG)","12082"
"Congonhas (MG)","55309"
"Congonhas do Norte (MG)","5046"
"Conquista (MG)","6969"
"Conselheiro Lafaiete (MG)","129606"
"Conselheiro Pena (MG)","22949"
"Consolação (MG)","1784"
"Contagem (MG)","668949"
"Coqueiral (MG)","9128"
"Coração de Jesus (MG)","26611"
"Cordisburgo (MG)","8897"
"Cordislândia (MG)","3542"
"Corinto (MG)","23668"
"Coroaci (MG)","9943"
"Coromandel (MG)","27966"
"Coronel Fabriciano (MG)","110290"
"Coronel Murta (MG)","9215"
"Coronel Pacheco (MG)","3090"
"Coronel Xavier Chaves (MG)","3441"
"Córrego Danta (MG)","3191"
"Córrego do Bom Jesus (MG)","3694"
"Córrego Fundo (MG)","6382"
"Córrego Novo (MG)","2728"
"Couto de Magalhães de Minas (MG)","4423"
"Crisólita (MG)","6760"
"Cristais (MG)","12931"
"Cristália (MG)","5982"
"Cristiano Otoni (MG)","5156"
"Cristina (MG)","10226"
"Crucilândia (MG)","5054"
"Cruzeiro da Fortaleza (MG)","3639"
"Cruzília (MG)","15474"
"Cuparaque (MG)","5005"
"Curral de Dentro (MG)","7799"
"Curvelo (MG)","80616"
"Datas (MG)","5421"
"Delfim Moreira (MG)","8016"
"Delfinópolis (MG)","7131"
"Delta (MG)","10768"
"Descoberto (MG)","5029"
"Desterro de Entre Rios (MG)","7255"
"Desterro do Melo (MG)","2884"
"Diamantina (MG)","47825"
"Diogo de Vasconcelos (MG)","3790"
"Dionísio (MG)","7609"
"Divinésia (MG)","3424"
"Divino (MG)","19976"
"Divino das Laranjeiras (MG)","4974"
"Divinolândia de Minas (MG)","7614"
"Divinópolis (MG)","240408"
"Divisa Alegre (MG)","6868"
"Divisa Nova (MG)","6025"
"Divisópolis (MG)","11211"
"Dom Bosco (MG)","3655"
