"dsc_cidade","populacao"
"Santa Izabel do Pará (PA)","71837"
"Santa Luzia do Pará (PA)","19843"
"Santa Maria das Barreiras (PA)","21850"
"Santa Maria do Pará (PA)","24995"
"Santana do Araguaia (PA)","74419"
"Santarém (PA)","306480"
"Santarém Novo (PA)","6753"
"Santo Antônio do Tauá (PA)","31918"
"São Caetano de Odivelas (PA)","18129"
"São Domingos do Araguaia (PA)","25753"
"São Domingos do Capim (PA)","32139"
"São Félix do Xingu (PA)","132138"
"São Francisco do Pará (PA)","15930"
"São Geraldo do Araguaia (PA)","24705"
"São João da Ponta (PA)","6217"
"São João de Pirabas (PA)","23244"
"São João do Araguaia (PA)","14051"
"São Miguel do Guamá (PA)","59632"
"São Sebastião da Boa Vista (PA)","26974"
"Sapucaia (PA)","6009"
"Senador José Porfírio (PA)","11480"
"Soure (PA)","25565"
"Tailândia (PA)","108969"
"Terra Alta (PA)","11847"
"Terra Santa (PA)","18917"
"Tomé-Açu (PA)","64030"
"Tracuateua (PA)","31257"
"Trairão (PA)","19168"
"Tucumã (PA)","40136"
"Tucuruí (PA)","115144"
"Ulianópolis (PA)","60761"
"Uruará (PA)","45435"
"Vigia (PA)","54172"
"Viseu (PA)","61751"
"Vitória do Xingu (PA)","15279"
"Xinguara (PA)","45086"
"Serra do Navio (AP)","5488"
"Amapá (AP)","9187"
"Pedra Branca do Amapari (AP)","17067"
"Calçoene (AP)","11306"
"Cutias (AP)","6101"
"Ferreira Gomes (AP)","7967"
"Itaubal (AP)","5617"
"Laranjal do Jari (AP)","51362"
"Macapá (AP)","512902"
"Mazagão (AP)","22053"
"Oiapoque (AP)","27906"
"Porto Grande (AP)","22452"
"Pracuúba (AP)","5246"
"Santana (AP)","123096"
"Tartarugalzinho (AP)","17769"
"Vitória do Jari (AP)","16254"
"Abreulândia (TO)","2594"
"Aguiarnópolis (TO)","6892"
"Aliança do Tocantins (TO)","5346"
"Almas (TO)","6979"
"Alvorada (TO)","8396"
"Ananás (TO)","9492"
"Angico (TO)","3454"
"Aparecida do Rio Negro (TO)","4848"
"Aragominas (TO)","5731"
"Araguacema (TO)","7155"
"Araguaçu (TO)","8467"
"Araguaína (TO)","183381"
"Araguanã (TO)","5793"
"Araguatins (TO)","36170"
"Arapoema (TO)","6616"
"Arraias (TO)","10534"
"Augustinópolis (TO)","18643"
"Aurora do Tocantins (TO)","3783"
"Axixá do Tocantins (TO)","9787"
"Babaçulândia (TO)","10666"
"Bandeirantes do Tocantins (TO)","3592"
"Barra do Ouro (TO)","4632"
"Barrolândia (TO)","5651"
"Bernardo Sayão (TO)","4448"
"Bom Jesus do Tocantins (TO)","5008"
"Brasilândia do Tocantins (TO)","2211"
"Brejinho de Nazaré (TO)","5519"
"Buriti do Tocantins (TO)","11497"
"Cachoeirinha (TO)","2284"
"Campos Lindos (TO)","10312"
"Cariri do Tocantins (TO)","4441"
"Carmolândia (TO)","2603"
